Year,Temp (°C),Population (Billion),CO2 (ppm),Internet Access (%),Source
1500,-0.3,0.05,298.08986995698433,0.0,Synthetic_GHA_2025
1501,-0.3,0.05,297.76780996641264,0.0,Synthetic_GHA_2025
1502,-0.3,0.05,297.44772858278793,0.0,Synthetic_GHA_2025
1503,-0.3,0.05,297.12962580610974,0.0,Synthetic_GHA_2025
1504,-0.3,0.05,296.813501636379,0.0,Synthetic_GHA_2025
1505,-0.3,0.05,296.4993560735952,0.0,Synthetic_GHA_2025
1506,-0.29,0.05,296.1871891177584,0.0,Synthetic_GHA_2025
1507,-0.29,0.05,295.87700076886813,0.0,Synthetic_GHA_2025
1508,-0.29,0.05,295.5687910269253,0.0,Synthetic_GHA_2025
1509,-0.29,0.05,295.2625598919294,0.0,Synthetic_GHA_2025
1510,-0.29,0.06,294.95830736388007,0.0,Synthetic_GHA_2025
1511,-0.29,0.06,294.65603344277815,0.0,Synthetic_GHA_2025
1512,-0.29,0.06,294.35573812862276,0.0,Synthetic_GHA_2025
1513,-0.29,0.06,294.0574214214148,0.0,Synthetic_GHA_2025
1514,-0.29,0.06,293.76108332115336,0.0,Synthetic_GHA_2025
1515,-0.29,0.06,293.46672382783936,0.0,Synthetic_GHA_2025
1516,-0.29,0.06,293.17434294147233,0.0,Synthetic_GHA_2025
1517,-0.29,0.06,292.8839406620518,0.0,Synthetic_GHA_2025
1518,-0.28,0.06,292.59551698957875,0.0,Synthetic_GHA_2025
1519,-0.28,0.06,292.3090719240522,0.0,Synthetic_GHA_2025
1520,-0.28,0.06,292.0246054654731,0.0,Synthetic_GHA_2025
1521,-0.28,0.06,291.7421176138405,0.0,Synthetic_GHA_2025
1522,-0.28,0.06,291.46160836915533,0.0,Synthetic_GHA_2025
1523,-0.28,0.06,291.1830777314167,0.0,Synthetic_GHA_2025
1524,-0.28,0.06,290.906525700625,0.0,Synthetic_GHA_2025
1525,-0.28,0.06,290.6319522767808,0.0,Synthetic_GHA_2025
1526,-0.28,0.06,290.3593574598831,0.0,Synthetic_GHA_2025
1527,-0.28,0.06,290.0887412499328,0.0,Synthetic_GHA_2025
1528,-0.28,0.07,289.82010364692906,0.0,Synthetic_GHA_2025
1529,-0.28,0.07,289.55344465087273,0.0,Synthetic_GHA_2025
1530,-0.27,0.07,289.28876426176294,0.0,Synthetic_GHA_2025
1531,-0.27,0.07,289.0260624796001,0.0,Synthetic_GHA_2025
1532,-0.27,0.07,288.7653393043847,0.0,Synthetic_GHA_2025
1533,-0.27,0.07,288.50659473611586,0.0,Synthetic_GHA_2025
1534,-0.27,0.07,288.2498287747944,0.0,Synthetic_GHA_2025
1535,-0.27,0.07,287.9950414204195,0.0,Synthetic_GHA_2025
1536,-0.27,0.07,287.7422326729916,0.0,Synthetic_GHA_2025
1537,-0.27,0.07,287.4914025325111,0.0,Synthetic_GHA_2025
1538,-0.27,0.07,287.2425509989771,0.0,Synthetic_GHA_2025
1539,-0.27,0.07,286.9956780723901,0.0,Synthetic_GHA_2025
1540,-0.27,0.07,286.75078375275007,0.0,Synthetic_GHA_2025
1541,-0.26,0.07,286.5078680400575,0.0,Synthetic_GHA_2025
1542,-0.26,0.07,286.2669309343114,0.0,Synthetic_GHA_2025
1543,-0.26,0.08,286.0279724355123,0.0,Synthetic_GHA_2025
1544,-0.26,0.08,285.79099254366065,0.0,Synthetic_GHA_2025
1545,-0.26,0.08,285.5559912587555,0.0,Synthetic_GHA_2025
1546,-0.26,0.08,285.32296858079735,0.0,Synthetic_GHA_2025
1547,-0.26,0.08,285.09192450978617,0.0,Synthetic_GHA_2025
1548,-0.26,0.08,284.86285904572196,0.0,Synthetic_GHA_2025
1549,-0.26,0.08,284.63577218860473,0.0,Synthetic_GHA_2025
1550,-0.26,0.08,284.41066393843494,0.0,Synthetic_GHA_2025
1551,-0.26,0.08,284.18753429521166,0.0,Synthetic_GHA_2025
1552,-0.26,0.08,283.96638325893537,0.0,Synthetic_GHA_2025
1553,-0.25,0.08,283.74721082960605,0.0,Synthetic_GHA_2025
1554,-0.25,0.08,283.5300170072237,0.0,Synthetic_GHA_2025
1555,-0.25,0.08,283.3148017917888,0.0,Synthetic_GHA_2025
1556,-0.25,0.09,283.10156518329995,0.0,Synthetic_GHA_2025
1557,-0.25,0.09,282.890307181759,0.0,Synthetic_GHA_2025
1558,-0.25,0.09,282.68102778716457,0.0,Synthetic_GHA_2025
1559,-0.25,0.09,282.4737269995171,0.0,Synthetic_GHA_2025
1560,-0.25,0.09,282.26840481881663,0.0,Synthetic_GHA_2025
1561,-0.25,0.09,282.06506124506313,0.0,Synthetic_GHA_2025
1562,-0.25,0.09,281.8636962782566,0.0,Synthetic_GHA_2025
1563,-0.25,0.09,281.66430991839707,0.0,Synthetic_GHA_2025
1564,-0.25,0.09,281.4669021654845,0.0,Synthetic_GHA_2025
1565,-0.24,0.09,281.2714730195189,0.0,Synthetic_GHA_2025
1566,-0.24,0.09,281.0780224805003,0.0,Synthetic_GHA_2025
1567,-0.24,0.09,280.88655054842866,0.0,Synthetic_GHA_2025
1568,-0.24,0.1,280.697057223304,0.0,Synthetic_GHA_2025
1569,-0.24,0.1,280.5095425051263,0.0,Synthetic_GHA_2025
1570,-0.24,0.1,280.3240063938956,0.0,Synthetic_GHA_2025
1571,-0.24,0.1,280.1404488896119,0.0,Synthetic_GHA_2025
1572,-0.24,0.1,279.95886999227514,0.0,Synthetic_GHA_2025
1573,-0.24,0.1,279.77926970188537,0.0,Synthetic_GHA_2025
1574,-0.24,0.1,279.6016480184426,0.0,Synthetic_GHA_2025
1575,-0.24,0.1,279.4260049419463,0.0,Synthetic_GHA_2025
1576,-0.23,0.1,279.25234047239746,0.0,Synthetic_GHA_2025
1577,-0.23,0.1,279.0806546097956,0.0,Synthetic_GHA_2025
1578,-0.23,0.11,278.9109473541407,0.0,Synthetic_GHA_2025
1579,-0.23,0.11,278.7432187054328,0.0,Synthetic_GHA_2025
1580,-0.23,0.11,278.5774686636719,0.0,Synthetic_GHA_2025
