Year,Gini
2020,0.69
2021,0.6869001852711164
2022,0.69
2023,0.69
2024,0.6807897793840797
2025,0.6790727718446495
2026,0.69
2027,0.685654145271327
2028,0.6715678824032767
2029,0.679971054981314
2030,0.6681941059001582
2031,0.6664538135754086
2032,0.6718135621095996
2033,0.6485439652301896
2034,0.6487104176344656
2035,0.6586195489500145
2036,0.6523969413219083
2037,0.6639505541340335
2038,0.650010668335697
2039,0.6432507003603845
2040,0.6703130533457812
2041,0.6516816309345286
2042,0.6528975042691014
2043,0.6362575686429159
2044,0.6433440515426269
2045,0.6481799329678056
2046,0.6338435995793124
2047,0.6473933438198203
2048,0.6359128050200038
2049,0.6372850827040875
2050,0.6324677823625544
2051,0.6552904586127661
2052,0.6349155328031256
2053,0.6227562240437743
2054,0.6398416107371935
2055,0.6176905533992796
2056,0.6302704541318658
2057,0.6068679452258486
2058,0.6114656142584904
2059,0.6249989153889943
2060,0.6286977971130854
2061,0.6213096424078592
2062,0.6167223050549054
2063,0.6131505792057232
2064,0.5996592245407701
2065,0.6055288306433256
2066,0.6064037133005031
2067,0.6198641515551184
2068,0.6110119404714421
2069,0.5882281843049585
2070,0.607382253835362
2071,0.5985734196200793
2072,0.5939378507040112
2073,0.6051066618783076
2074,0.6075827224976867
2075,0.6048683567467175
2076,0.5854462086061575
2077,0.5890290883626998
2078,0.593716674718076
2079,0.5984423199580923
2080,0.582177954591244
2081,0.5833959354858871
2082,0.5724720037952933
2083,0.569856115577375
2084,0.5882262683249521
2085,0.5919462386695465
2086,0.5759465654508633
2087,0.5849848239284152
2088,0.5768486834827995
2089,0.5650639539691003
2090,0.5734119358530639
2091,0.5834611737454678
2092,0.5660053759725369
2093,0.5802929012046046
2094,0.5367318418883955
2095,0.5694311462558735
2096,0.5603654201773312
2097,0.5547877042731191
2098,0.556978213825961
2099,0.5344677451974255
2100,0.5504295437478874
2101,0.5544802166242083
2102,0.5639708596393344
2103,0.542292045292011
2104,0.5376726397286439
2105,0.5390228336045587
2106,0.551477253500253
2107,0.5438935717026575
2108,0.5335912868512185
2109,0.5423043915028507
2110,0.5364253209480259
2111,0.5434238236427026
2112,0.5249996710814285
2113,0.5270264088370525
2114,0.5246647770545371
2115,0.52
2116,0.5281127179221609
2117,0.5260448961561424
2118,0.5217683062835963
2119,0.52
